,Fecha extrac,Enlace,Marca,Modelo,Precio,Localización,Potencia,Tipo vendedor,Categoría,Tipo de vehículo,puertas,Versión del país,Garantía,Kilometraje,Año,Tipo de cambio,Capacidad,Consumo de combustible,Color exterior,Color original,Tracción,plazas,Número de marchas,Número de cilindros,Peso,Tipo de combustible,Mes
9448,2023-11-20,https://www.autoscout24.es/anuncios/nissan-qashqai-q-2-1-5dci-tekna-sport-4x2-18-diesel-negro-89763eba-cd10-46fe-8db5-03bb517e416d,Nissan,Qashqai,10999.0,https://maps.google.com/?q=CARRETERA%20DE%20MATARO%2010%2C%208903%20SANT%20ADRI%C3%80%20DE%20BES%C3%92S%2C%20ES,110,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,146906,2013,Manual,1591.0,6.7,Negro,Negro,Tracción delantera,5,6,4,1379.0,Gasolina,5
9449,2023-11-20,https://www.autoscout24.es/anuncios/nissan-qashqai-dig-t-103-kw-140-cv-e6d-acenta-gasolina-gris-0b9e8894-1763-448e-8280-889bc598a973,Nissan,Qashqai,196001.0,https://maps.google.com/?q=AVDA.%20DE%20LUGO%2C%2099%2C%2036004%20PONTEVEDRA%2C%20ES,140,Prof.,Sedán,Ocasión,5,España,12,74807,2019,Manual,1197.0,6.7,Gris,Gris,Tracción delantera,5,5,4,1080.0,Gasolina,5
9450,2023-11-20,https://www.autoscout24.es/anuncios/nissan-juke-1-5dci-tekna-4x2-diesel-negro-489f92a5-e112-4dd4-ad4f-62e4f3955e9a,Nissan,Juke,133991.0,https://maps.google.com/?q=CALLE%20SIM%C3%93N%20CARPINTERO%2081%20POL%C3%8DGONO%20INDUSTRIAL%20LAS%20QUEMADAS%2C%2C%2014014%20CORDOBA%2C%20ES,110,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,45817,2015,Manual,1995.0,11.9,Negro,Negro,Tracción a las cuatro ruedas,5,8,4,2060.0,Gasolina,7
9451,2023-11-20,https://www.autoscout24.es/anuncios/nissan-juke-g-e6d-temp-83-kw-112-cv-5m-t-acenta-gasolina-blanco-392dc525-80d7-41e9-9c84-b8723811f86e,Nissan,Juke,13590.0,https://maps.google.com/?q=Av.%20Laboral%2C%2010%2C%2028021%20MADRID%2C%20ES,113,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,94214,2019,Manual,2494.0,5.9,Blanco,Blanco,Tracción a las cuatro ruedas,5,1,4,1715.0,Gasolina,4
9452,2023-11-20,https://www.autoscout24.es/anuncios/nissan-micra-ig-t-68-kw-92-cv-e6d-f-acenta-gasolina-blanco-c9dd86dc-aa40-4877-9dc2-38b651942183,Nissan,Micra,139001.0,https://maps.google.com/?q=Av.%20Jaime%20I%2C%2015%2C%2008226%20Terrassa%2C%20ES,92,Prof.,Sedán,Ocasión,5,España,12,22230,2021,Manual,2956.7782909930716,1.2,Blanco,Blanco,Tracción delantera,5,6,6,1785.0,Eléctrico,9
9453,2023-11-20,https://www.autoscout24.es/anuncios/nissan-qashqai-dig-t-103-kw-140-cv-e6d-n-style-gasolina-blanco-209a7b58-0943-4838-a5f9-6eeef30fec66,Nissan,Qashqai,16790.0,https://maps.google.com/?q=Av.%20Laboral%2C%2010%2C%2028021%20MADRID%2C%20ES,140,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,63956,2020,Manual,2151.0,5.8,Blanco,Blanco,Tracción a las cuatro ruedas,5,8,4,1819.0,Diésel,12
9454,2023-11-20,https://www.autoscout24.es/anuncios/nissan-qashqai-1-2-dig-t-visia-4x2-gasolina-blanco-4e612245-4413-4ccf-af33-c8a44a21efde,Nissan,Qashqai,14775.0,https://maps.google.com/?q=C.%20Arroyo%20Total%C3%A1n%2C%2036%2C%2029730%20Rinc%C3%B3n%20de%20la%20Victoria%2C%20ES,116,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,75659,2018,Manual,1396.0,4.2,Blanco,Blanco,Tracción delantera,7,6,3,1349.0,Diésel,1
9455,2023-11-20,https://www.autoscout24.es/anuncios/nissan-juke-g-e6d-temp-83-kw-112-cv-5m-t-acenta-gasolina-gris-17936697-3cdc-4f5f-9f04-102396b0a172,Nissan,Juke,14790.0,https://maps.google.com/?q=CALLE%20COMERCIO%20S%2FN%20DEL%20POL%C3%8DGONO%20EL%20FLOR%C3%8DO%2C%2018015%20GRANADA%2C%20ES,113,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,21113,2019,Manual,2487.0,5.9,Gris,Gris,Tracción a las cuatro ruedas,5,1,4,2200.0,Gasolina,2
9456,2023-11-20,https://www.autoscout24.es/anuncios/nissan-juke-g-e6d-temp-83-kw-112-cv-cvt-n-connecta-gasolina-gris-4d271220-5375-43d6-ad64-98a11decb75e,Nissan,Juke,13290.0,https://maps.google.com/?q=Av.%20Laboral%2C%2010%2C%2028021%20MADRID%2C%20ES,113,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,30710,2019,Manual,2700.0,5.9,Gris,Gris,Tracción delantera,5,6,6,1670.2021276595744,Gasolina,5
9457,2023-11-20,https://www.autoscout24.es/anuncios/nissan-micra-ig-t-acenta-92-gasolina-blanco-26e69e43-9838-4eb6-87ff-5aaf29fc337b,Nissan,Micra,11490.0,https://maps.google.com/?q=Av.%20Laboral%2C%2010%2C%2028021%20MADRID%2C%20ES,92,Prof.,Coche pequeño,Ocasión,5,España,12,36541,2020,Manual,2987.0,8.5,Blanco,Blanco,Tracción trasera,5,8,6,2060.0,Diésel,9
